iter	Passed	Remaining
1618	85482	20116
1619	85531	20062
1620	85592	20011
1621	85648	19959
1622	85705	19908
1623	85759	19855
1624	85813	19803
1625	85894	19756
1626	85949	19704
1627	85995	19650
1628	86049	19597
1629	86101	19544
1630	86148	19490
1631	86202	19437
1632	86261	19386
1633	86314	19333
1634	86362	19279
1635	86412	19226
1636	86483	19177
1637	86547	19127
1638	86609	19076
1639	86672	19025
1640	86720	18971
1641	86768	18917
1642	86832	18867
1643	86883	18814
1644	86939	18761
1645	87001	18711
1646	87053	18658
1647	87108	18605
1648	87162	18553
1649	87226	18502
1650	87281	18450
1651	87335	18397
1652	87386	18344
1653	87437	18291
1654	87489	18238
1655	87562	18189
1656	87644	18142
1657	87697	18089
